ten00006_linear
DATAFLOW;LAST UPDATE;freq;unit;wat_proc;wat_src;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CZ;2018;1220.70;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CZ;2019;1147.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CZ;2020;1011.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;CZ;2021;986.40;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DE;2010;27195.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DE;2011;24600.38;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DE;2012;22005.76;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DE;2013;19411.13;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DE;2014;19074.82;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DE;2015;18738.50;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DE;2016;18402.18;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DE;2017;17149.58;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DE;2018;15896.98;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DE;2019;14644.39;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2010;258.65;b
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2011;248.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2012;249.89;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2013;258.47;
