"Area Code","Area","Item Code","Item","Element Code","Element","Year Code","Year","Unit","Value","Flag"
211,Switzerland,515,Apples,5419,Yield,1982,1982,hg/ha,1052019.0,Fc
211,Switzerland,515,Apples,5419,Yield,1983,1983,hg/ha,485846.0,Fc
211,Switzerland,515,Apples,5419,Yield,1984,1984,hg/ha,780805.0,Fc
211,Switzerland,515,Apples,5419,Yield,1985,1985,hg/ha,254462.0,Fc
211,Switzerland,515,Apples,5419,Yield,1986,1986,hg/ha,359232.0,Fc
211,Switzerland,515,Apples,5419,Yield,1987,1987,hg/ha,218961.0,Fc
211,Switzerland,515,Apples,5419,Yield,1988,1988,hg/ha,451169.0,Fc
211,Switzerland,515,Apples,5419,Yield,1989,1989,hg/ha,287963.0,Fc
211,Switzerland,515,Apples,5419,Yield,1990,1990,hg/ha,376348.0,Fc
211,Switzerland,515,Apples,5419,Yield,1991,1991,hg/ha,367793.0,Fc
211,Switzerland,515,Apples,5419,Yield,1992,1992,hg/ha,875575.0,Fc
211,Switzerland,515,Apples,5419,Yield,1993,1993,hg/ha,522094.0,Fc
211,Switzerland,515,Apples,5419,Yield,1994,1994,hg/ha,564282.0,Fc
211,Switzerland,515,Apples,5419,Yield,1995,1995,hg/ha,389711.0,Fc
211,Switzerland,515,Apples,5419,Yield,1996,1996,hg/ha,694553.0,Fc
211,Switzerland,515,Apples,5419,Yield,1997,1997,hg/ha,444003.0,Fc
211,Switzerland,515,Apples,5419,Yield,1998,1998,hg/ha,840797.0,Fc
211,Switzerland,515,Apples,5419,Yield,1999,1999,hg/ha,456437.0,Fc
211,Switzerland,515,Apples,5419,Yield,2000,2000,hg/ha,779268.0,Fc
211,Switzerland,515,Apples,5419,Yield,2001,2001,hg/ha,429682.0,Fc
211,Switzerland,515,Apples,5419,Yield,2002,2002,hg/ha,602460.0,Fc
211,Switzerland,515,Apples,5419,Yield,2003,2003,hg/ha,475059.0,Fc
211,Switzerland,515,Apples,5419,Yield,2004,2004,hg/ha,649443.0,Fc
211,Switzerland,515,Apples,5419,Yield,2005,2005,hg/ha,493618.0,Fc
211,Switzerland,515,Apples,5419,Yield,2006,2006,hg/ha,605853.0,Fc
211,Switzerland,515,Apples,5419,Yield,2007,2007,hg/ha,649166.0,Fc
211,Switzerland,515,Apples,5419,Yield,2008,2008,hg/ha,607597.0,Fc
211,Switzerland,515,Apples,5419,Yield,2009,2009,hg/ha,594070.0,Fc
211,Switzerland,515,Apples,5419,Yield,2010,2010,hg/ha,478049.0,Fc
211,Switzerland,515,Apples,5419,Yield,2011,2011,hg/ha,782183.0,Fc
211,Switzerland,515,Apples,5419,Yield,2012,2012,hg/ha,564418.0,Fc
211,Switzerland,515,Apples,5419,Yield,2013,2013,hg/ha,526243.0,Fc
211,Switzerland,515,Apples,5419,Yield,2014,2014,hg/ha,594101.0,Fc
211,Switzerland,515,Apples,5419,Yield,2015,2015,hg/ha,554621.0,Fc
211,Switzerland,515,Apples,5419,Yield,2016,2016,hg/ha,589777.0,Fc
211,Switzerland,515,Apples,5419,Yield,2017,2017,hg/ha,383248.0,Fc
211,Switzerland,515,Apples,5419,Yield,2018,2018,hg/ha,783883.0,Fc
211,Switzerland,515,Apples,5419,Yield,2019,2019,hg/ha,507832.0,Fc
211,Switzerland,515,Apples,5510,Production,1961,1961,tonnes,269800.0,
211,Switzerland,515,Apples,5510,Production,1962,1962,tonnes,480400.0,
211,Switzerland,515,Apples,5510,Production,1963,1963,tonnes,359600.0,
211,Switzerland,515,Apples,5510,Production,1964,1964,tonnes,389600.0,
211,Switzerland,515,Apples,5510,Production,1965,1965,tonnes,255400.0,
211,Switzerland,515,Apples,5510,Production,1966,1966,tonnes,350000.0,
211,Switzerland,515,Apples,5510,Production,1967,1967,tonnes,580000.0,
211,Switzerland,515,Apples,5510,Production,1968,1968,tonnes,270000.0,
211,Switzerland,515,Apples,5510,Production,1969,1969,tonnes,530000.0,
211,Switzerland,515,Apples,5510,Production,1970,1970,tonnes,280000.0,
211,Switzerland,515,Apples,5510,Production,1971,1971,tonnes,390000.0,
211,Switzerland,515,Apples,5510,Production,1972,1972,tonnes,260000.0,
211,Switzerland,515,Apples,5510,Production,1973,1973,tonnes,380000.0,
211,Switzerland,515,Apples,5510,Production,1974,1974,tonnes,240000.0,
211,Switzerland,515,Apples,5510,Production,1975,1975,tonnes,435000.0,
211,Switzerland,515,Apples,5510,Production,1976,1976,tonnes,243000.0,
211,Switzerland,515,Apples,5510,Production,1977,1977,tonnes,279000.0,
211,Switzerland,515,Apples,5510,Production,1978,1978,tonnes,355000.0,
211,Switzerland,515,Apples,5510,Production,1979,1979,tonnes,442000.0,
211,Switzerland,515,Apples,5510,Production,1980,1980,tonnes,340000.0,
211,Switzerland,515,Apples,5510,Production,1981,1981,tonnes,243000.0,
211,Switzerland,515,Apples,5510,Production,1982,1982,tonnes,542000.0,
211,Switzerland,515,Apples,5510,Production,1983,1983,tonnes,242000.0,
211,Switzerland,515,Apples,5510,Production,1984,1984,tonnes,384000.0,
211,Switzerland,515,Apples,5510,Production,1985,1985,tonnes,278000.0,
211,Switzerland,515,Apples,5510,Production,1986,1986,tonnes,393000.0,
211,Switzerland,515,Apples,5510,Production,1987,1987,tonnes,240200.0,
211,Switzerland,515,Apples,5510,Production,1988,1988,tonnes,492000.0,
211,Switzerland,515,Apples,5510,Production,1989,1989,tonnes,311000.0,
211,Switzerland,515,Apples,5510,Production,1990,1990,tonnes,397800.0,
211,Switzerland,515,Apples,5510,Production,1991,1991,tonnes,181800.0,
211,Switzerland,515,Apples,5510,Production,1992,1992,tonnes,438313.0,
211,Switzerland,515,Apples,5510,Production,1993,1993,tonnes,264075.0,
211,Switzerland,515,Apples,5510,Production,1994,1994,tonnes,288235.0,
211,Switzerland,515,Apples,5510,Production,1995,1995,tonnes,199337.0,
211,Switzerland,515,Apples,5510,Production,1996,1996,tonnes,358320.0,
211,Switzerland,515,Apples,5510,Production,1997,1997,tonnes,226264.0,
211,Switzerland,515,Apples,5510,Production,1998,1998,tonnes,426368.0,
211,Switzerland,515,Apples,5510,Production,1999,1999,tonnes,228903.0,
211,Switzerland,515,Apples,5510,Production,2000,2000,tonnes,374984.0,
211,Switzerland,515,Apples,5510,Production,2001,2001,tonnes,202380.0,
211,Switzerland,515,Apples,5510,Production,2002,2002,tonnes,275023.0,
211,Switzerland,515,Apples,5510,Production,2003,2003,tonnes,209501.0,
211,Switzerland,515,Apples,5510,Production,2004,2004,tonnes,284586.0,
211,Switzerland,515,Apples,5510,Production,2005,2005,tonnes,212996.0,
211,Switzerland,515,Apples,5510,Production,2006,2006,tonnes,259305.0,
211,Switzerland,515,Apples,5510,Production,2007,2007,tonnes,274922.0,
211,Switzerland,515,Apples,5510,Production,2008,2008,tonnes,254887.0,
211,Switzerland,515,Apples,5510,Production,2009,2009,tonnes,251054.0,
211,Switzerland,515,Apples,5510,Production,2010,2010,tonnes,201641.0,
211,Switzerland,515,Apples,5510,Production,2011,2011,tonnes,327500.0,
211,Switzerland,515,Apples,5510,Production,2012,2012,tonnes,233556.0,
211,Switzerland,515,Apples,5510,Production,2013,2013,tonnes,210129.0,
211,Switzerland,515,Apples,5510,Production,2014,2014,tonnes,231343.0,
211,Switzerland,515,Apples,5510,Production,2015,2015,tonnes,214250.0,
211,Switzerland,515,Apples,5510,Production,2016,2016,tonnes,227300.0,
211,Switzerland,515,Apples,5510,Production,2017,2017,tonnes,145864.0,
211,Switzerland,515,Apples,5510,Production,2018,2018,tonnes,296778.0,
211,Switzerland,515,Apples,5510,Production,2019,2019,tonnes,189726.0,
211,Switzerland,526,Apricots,5312,Area harvested,1961,1961,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1962,1962,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1963,1963,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1964,1964,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1965,1965,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1966,1966,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1967,1967,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1968,1968,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1969,1969,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1970,1970,ha,,M
